,gid,objectid_1,longitude,latitude,sio2,al2o3,fe2o3,tio2,cao,mgo,mno,na2o,k2o,p2o5,loi,ba,ga,sc,v,th,pb,ni,co,rb,sr,y,zr,nb,cr,cu,zn,au,li,cs,as_,sb,bi,se,ag,be,ge,mo,sn,la,ce,pr,nd,sm,eu,tb,gd,dy,ho,er,tm,yb,lu,hf,ta,w,u,pt,pd,f,in_,te,tl,cd,hg
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,6767.4,253191.7,74.106988889,25.114967778,58.757999999999996,14.822999999999999,6.835000000000001,0.85,2.395,2.673,0.094,0.6829999999999999,2.3020000000000005,0.072,0.0,431.5,23.4,13.1,109.4,17.0,27.8,47.7,12.9,123.5,108.3,33.1,315.5,16.2,137.1,43.3,78.5,3.35,20.2,6.6,9.4,455.0,350.0,292.5,61.3,2.618,1.491,2.25,3.401,56.414,108.61399999999999,12.169999999999998,47.78699999999999,9.102,1.6969999999999998,1.344,8.527999999999999,7.184,1.49,4.08,0.643,4.132,0.617,9.888000000000002,1.4280000000000002,1.732,3.557,0.0,0.0,192.0,0.0,0.0,0.0,45.0,21.3
std,1048.6144509144754,1373.379614915944,0.07233408155666252,0.06575124776976217,3.717674900615528,1.0831235694354853,0.998379242127515,0.033665016461206926,1.3922982598726625,0.6629236590873626,0.016465452046971293,0.16733532535334883,0.5828436039510656,0.017511900715418263,0.0,59.84284975389012,2.875181153713043,0.9944289260117531,6.345602151621757,2.211083193570267,6.579429222120175,9.48741856940607,5.216427044549853,24.345887172625734,22.939776226749323,3.6347092196090616,49.15790882452182,0.9189365834726815,26.044619832553174,8.138386408455508,22.361922000480092,2.779388421937459,9.647106647418523,3.5023801430836525,3.462497492979437,187.7498335551859,154.56030825826173,107.39982412565777,41.486410090802295,0.2787192932763078,0.15863655176394742,0.7905694150420949,0.9142142953256517,9.857590645453548,18.186944768157186,2.0950735866153565,7.595937583852159,1.4330139178978303,0.19714912573424656,0.2045700097494471,1.2352309725535362,1.1186321011743663,0.1855322673343433,0.6318579305860175,0.08705681414391919,0.5916230030837016,0.10573026477262265,2.200125248959956,0.33014474939873806,0.6971497527631906,0.5929596201353944,0.0,0.0,94.72767986883947,0.0,0.0,0.0,15.811388300841896,8.44656406146573
min,3783.0,249283.0,74.0,25.01427778,50.12,13.51,5.72,0.78,1.56,2.02,0.08,0.45,1.05,0.05,0.0,342.0,20.0,11.0,97.0,13.0,19.0,39.0,6.0,84.0,67.0,30.0,227.0,15.0,113.0,34.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.21,1.34,0.0,2.09,40.47,82.2,8.77,34.9,6.7,1.34,1.0,6.42,5.33,1.13,3.07,0.49,3.19,0.46,6.83,1.14,0.0,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,7096.25,253623.25,74.049416665,25.0671625,57.4075,13.9575,6.055,0.8425,1.6549999999999998,2.25,0.08,0.5625,2.0525,0.0625,0.0,386.75,22.0,13.0,108.25,16.25,22.5,44.0,10.25,110.0,95.75,31.0,281.25,16.0,123.25,36.25,64.0,1.5,16.25,5.0,9.25,400.0,312.5,300.0,35.0,2.495,1.39,2.5,3.1174999999999997,49.855000000000004,98.045,10.725,42.8525,8.18,1.565,1.2125,7.7475000000000005,6.5424999999999995,1.415,3.87,0.6225,3.9650000000000003,0.575,7.83,1.2525,1.6325,3.125,0.0,0.0,132.5,0.0,0.0,0.0,50.0,19.5
50%,7098.5,253625.5,74.112319445,25.105625,59.655,14.715,6.62,0.855,1.875,2.53,0.09,0.695,2.25,0.07,0.0,443.5,22.5,13.0,110.0,17.0,28.0,44.5,12.5,119.0,115.0,32.0,315.0,16.0,126.5,43.5,71.0,3.0,22.0,5.0,10.5,475.0,375.0,312.5,52.0,2.545,1.46,2.5,3.3049999999999997,57.019999999999996,104.75,12.135,47.61,8.985,1.73,1.34,8.5,7.25,1.5350000000000001,4.085,0.64,4.12,0.6,10.280000000000001,1.315,1.775,3.5,0.0,0.0,210.0,0.0,0.0,0.0,50.0,22.5
75%,7100.75,253627.75,74.1716736075,25.17336111,61.6225,15.7775,7.5424999999999995,0.86,2.2525,2.855,0.1,0.765,2.7125,0.08,0.0,464.25,24.0,14.0,114.0,18.75,30.75,49.0,14.5,140.75,123.5,34.5,356.5,16.75,135.75,47.0,87.25,4.0,28.5,10.0,11.375,575.0,400.0,350.0,90.75,2.675,1.5350000000000001,2.5,3.6925,62.3925,118.1225,13.595,53.712500000000006,10.145,1.8,1.4849999999999999,9.4225,7.8275,1.6150000000000002,4.375,0.7,4.4624999999999995,0.66,11.3375,1.4675,1.955,3.8575,0.0,0.0,275.0,0.0,0.0,0.0,50.0,26.0
max,7103.0,253630.0,74.20466667,25.21202778,62.04,16.38,8.72,0.91,6.1,4.25,0.13,0.97,3.11,0.11,0.0,524.0,30.0,14.0,117.0,20.0,40.0,72.0,25.0,164.0,133.0,42.0,377.0,18.0,192.0,60.0,133.0,10.0,29.0,11.0,11.5,650.0,600.0,375.0,136.0,3.18,1.87,2.5,5.38,72.52,145.86,15.53,58.22,11.3,2.0,1.66,10.45,9.25,1.7,5.35,0.79,5.22,0.78,12.86,2.29,2.7,4.73,0.0,0.0,290.0,0.0,0.0,0.0,50.0,30.0
