,gid,objectid_1,longitude,latitude,sio2,al2o3,fe2o3,tio2,cao,mgo,mno,na2o,k2o,p2o5,loi,ba,ga,sc,v,th,pb,ni,co,rb,sr,y,zr,nb,cr,cu,zn,au,li,cs,as_,sb,bi,se,ag,be,ge,mo,sn,la,ce,pr,nd,sm,eu,tb,gd,dy,ho,er,tm,yb,lu,hf,ta,w,u,pt,pd,f,in_,te,tl,cd,hg
count,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0
mean,3283.5,248748.5,74.13222222222221,25.380000000000003,57.974444444444444,15.47888888888889,7.399444444444445,1.0333333333333332,2.4133333333333336,2.8772222222222226,0.09055555555555556,1.0661111111111115,2.5749999999999997,0.10444444444444445,0.0,567.8888888888889,20.72222222222222,14.38888888888889,111.44444444444444,18.22222222222222,23.61111111111111,48.72222222222222,18.166666666666668,119.77777777777777,143.88888888888889,39.05555555555556,349.1666666666667,23.27777777777778,125.77777777777777,38.166666666666664,83.44444444444444,2.611111111111111,23.61111111111111,7.611111111111111,8.63888888888889,302.77777777777777,298.6111111111111,245.83333333333334,34.05555555555556,2.6194444444444445,1.358888888888889,2.5,2.9255555555555555,63.004999999999995,120.72055555555556,13.71888888888889,53.76944444444444,10.404444444444444,1.9861111111111112,1.5255555555555553,9.745000000000001,7.977222222222222,1.6588888888888889,4.376111111111111,0.6872222222222223,4.457222222222222,0.6494444444444444,11.534444444444444,1.7244444444444444,1.4877777777777779,3.261111111111111,0.0,0.0,0.0,0.0,0.0,0.0,25.0,16.61111111111111
std,5.338539126015656,5.338539126015656,0.06890364589991463,0.07012593713330019,3.224670019091278,1.7400097663312422,1.3715533153078763,0.2086652258297684,1.0373609049211483,0.7822276301432194,0.020714366206096232,0.6813234430040758,0.6243514281895677,0.07366236346228429,0.0,196.68693813770892,2.674620491068187,3.292395675043592,21.426268161307547,5.765572830635259,7.6245647041719415,14.64001589341614,8.699222412850203,30.087236996197564,63.625641232306826,9.282952257465245,120.7292790648955,19.625330437249758,34.20277862044949,13.399956101771817,20.457192672166524,2.15949037803146,6.472919960146078,2.7037857748608465,2.18151024020163,220.6089314909865,129.32864606424386,113.84005807943622,43.51534174656407,0.4268967669978336,0.19547495368036252,0.0,1.0006540344854589,17.919074703658506,32.445872115267015,3.6091939606720547,13.266423992755378,2.354475643440712,0.43258646043494464,0.3440626177999002,2.1524220283753124,1.7682786763189176,0.3735188614638905,0.9722813614132662,0.15418879014550943,1.0450882628391647,0.1491336637825364,4.0074448691260836,0.9437361434727038,0.6303738905047269,0.8785676102336314,0.0,0.0,0.0,0.0,0.0,0.0,25.724787771376324,8.03769713060891
min,3275.0,248740.0,74.05,25.29,50.42,12.6,5.72,0.82,1.24,1.84,0.06,0.45,1.62,0.05,0.0,357.0,15.0,11.0,65.0,5.0,12.0,19.0,6.0,61.0,67.0,30.0,210.0,15.0,47.0,13.0,59.0,1.5,11.0,5.0,5.0,100.0,125.0,50.0,0.0,1.86,1.05,2.5,1.05,35.26,69.89,8.77,34.9,6.7,1.34,1.0,6.42,5.33,1.13,3.07,0.49,3.19,0.46,6.83,1.14,0.25,1.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0
25%,3279.25,248744.25,74.05,25.31,56.5875,14.2025,6.21,0.86,1.6549999999999998,2.25,0.08,0.6975,2.0825,0.0625,0.0,462.0,19.0,12.25,103.25,16.0,19.0,44.0,12.0,105.25,114.25,31.0,275.5,16.0,117.5,32.0,67.5,1.5,18.25,5.0,7.125,100.0,200.0,150.0,0.0,2.3449999999999998,1.245,2.5,2.305,49.855000000000004,98.0125,10.725,43.2275,8.732500000000002,1.725,1.33,8.49,7.0649999999999995,1.4625,3.8925,0.6225,4.04,0.575,9.215,1.3025,1.02,2.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
50%,3283.5,248748.5,74.13,25.38,58.375,15.25,7.470000000000001,0.9650000000000001,2.065,2.79,0.08499999999999999,0.8200000000000001,2.6100000000000003,0.08,0.0,486.0,21.0,13.5,110.0,17.5,22.5,46.5,15.5,125.0,126.5,35.0,322.0,16.5,124.5,36.5,81.0,1.5,25.0,7.5,8.5,250.0,275.0,300.0,12.5,2.545,1.3450000000000002,2.5,2.9699999999999998,60.53,116.805,13.15,51.115,10.015,1.955,1.495,9.505,7.665,1.59,4.2,0.66,4.245,0.61,10.96,1.42,1.645,3.355,0.0,0.0,0.0,0.0,0.0,0.0,25.0,16.5
75%,3287.75,248752.75,74.2,25.43,60.1075,16.3425,7.975,1.175,3.0375,3.2625,0.1,1.1724999999999999,2.88,0.11,0.0,622.25,22.0,14.75,117.75,22.25,28.5,54.5,23.5,144.25,153.5,47.0,377.0,20.75,144.5,47.0,93.5,3.0,27.75,10.0,10.5,487.5,400.0,350.0,55.0,2.9125,1.4649999999999999,2.5,3.3075,73.2475,144.86,16.265,63.935,12.1475,2.1325000000000003,1.6225,10.8025,8.435,1.745,4.5525,0.7175,4.595,0.6675,12.53,1.6625,1.8599999999999999,3.8575,0.0,0.0,0.0,0.0,0.0,0.0,50.0,23.25
max,3292.0,248757.0,74.22,25.48,62.04,19.18,10.08,1.47,5.05,4.36,0.14,2.93,3.79,0.32,0.0,1036.0,26.0,22.0,157.0,28.0,40.0,75.0,35.0,164.0,341.0,60.0,682.0,99.0,188.0,63.0,133.0,10.0,38.0,11.0,11.5,650.0,600.0,375.0,136.0,3.51,1.87,2.5,5.63,97.4,175.79,20.11,77.11,15.16,2.84,2.46,15.13,13.31,2.84,7.59,1.22,8.11,1.15,21.03,5.14,2.7,4.74,0.0,0.0,0.0,0.0,0.0,0.0,50.0,30.0
