,gid,objectid_1,longitude,latitude,sio2,al2o3,fe2o3,tio2,cao,mgo,mno,na2o,k2o,p2o5,loi,ba,ga,sc,v,th,pb,ni,co,rb,sr,y,zr,nb,cr,cu,zn,au,li,cs,as_,sb,bi,se,ag,be,ge,mo,sn,la,ce,pr,nd,sm,eu,tb,gd,dy,ho,er,tm,yb,lu,hf,ta,w,u,pt,pd,f,in_,te,tl,cd,hg
count,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
mean,3268.8,248733.8,74.119,25.647000000000002,52.428999999999995,17.021,8.825,1.467,3.335,3.8620000000000005,0.095,0.776,3.3199999999999994,0.174,0.0,762.1,21.3,17.3,122.7,16.2,26.1,42.1,21.3,158.3,181.0,67.4,395.5,29.1,114.8,33.5,108.2,1.5,24.0,6.0,6.65,310.0,205.0,240.0,45.8,3.0410000000000004,1.377,2.5,3.0799999999999996,86.78999999999999,163.522,17.164,75.169,13.822,2.365,1.9749999999999996,13.072999999999999,10.099,2.121,5.6419999999999995,0.8860000000000001,5.422,0.747,12.652000000000001,1.6940000000000002,1.64,2.196,0.0,0.0,0.0,0.0,0.0,0.0,50.0,7.05
std,4.589843860815601,4.589843860815601,0.07140650452786874,0.07916929820187743,2.4342667159628264,1.9783576241137217,1.2437778472594425,0.26882666865059685,1.683331683167508,0.6757021039876474,0.022236106773543887,0.2591953360348566,0.38323187063012737,0.13175735273600483,0.0,212.58956282522954,4.4234225060089685,2.2135943621178655,17.301573467301882,2.250925735484551,3.6651512019742563,14.517805160101394,5.143496432929215,32.62258931068062,37.18123780140253,19.282692297037315,145.8913218042039,10.104454463255303,28.030935291804543,11.257096527178854,34.06790604399135,0.0,11.972189997378647,2.1081851067789197,2.041921752772237,65.82805886043833,116.54755824698059,39.44053188733078,12.398924684557661,1.307639518793735,0.1355687607411416,0.0,0.8500718923845336,22.54324141141494,43.18501766945466,6.941668387354728,20.224597482603535,3.7191241501789705,0.6739971974884037,0.6123769717711106,3.6952343182356735,3.262263869700849,0.6973832040803201,1.8283860521114124,0.30507558262029283,1.7693740261585293,0.24711895471164855,4.292644354655479,0.4867397205443127,0.6365183073216005,0.428853769431441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4318488622628025
min,3258.0,248723.0,74.03,25.53,48.99,14.47,7.07,0.95,1.67,3.01,0.06,0.46,2.75,0.05,0.0,420.0,17.0,14.0,96.0,12.0,21.0,23.0,15.0,111.0,146.0,42.0,233.0,20.0,85.0,19.0,58.0,1.5,10.0,5.0,4.0,250.0,100.0,200.0,25.0,2.07,1.16,2.5,1.77,46.58,89.81,2.99,40.03,8.5,1.38,1.29,8.3,6.07,1.24,3.28,0.47,3.29,0.42,6.89,0.93,1.04,1.42,0.0,0.0,0.0,0.0,0.0,0.0,50.0,2.5
25%,3267.25,248732.25,74.0575,25.575,51.3625,15.872499999999999,7.83,1.315,2.3274999999999997,3.5,0.08,0.6024999999999999,2.9924999999999997,0.085,0.0,679.75,19.0,16.25,113.25,14.5,24.0,33.5,17.25,133.75,167.0,54.25,281.0,22.0,95.75,27.5,86.75,1.5,20.0,5.0,4.625,250.0,150.0,200.0,39.25,2.2,1.315,2.5,2.4749999999999996,74.35,142.3975,12.7425,61.83,10.5275,1.7925,1.3625,9.3775,7.0649999999999995,1.4975,4.0925,0.6525,4.095,0.5725,9.52,1.4025,1.1800000000000002,1.96,0.0,0.0,0.0,0.0,0.0,0.0,50.0,6.0
50%,3269.5,248734.5,74.11500000000001,25.645,51.89,16.57,8.920000000000002,1.585,2.6900000000000004,3.6550000000000002,0.1,0.735,3.39,0.13,0.0,762.0,20.0,17.0,122.5,16.5,26.0,37.5,21.0,162.5,174.5,65.5,390.0,25.0,106.5,31.0,107.5,1.5,22.5,5.0,7.0,300.0,175.0,237.5,46.5,2.605,1.4,2.5,3.255,93.09,179.935,19.595,81.925,15.23,2.46,2.02,13.895,9.89,2.02,5.21,0.8,4.945,0.685,13.095,1.575,1.46,2.0999999999999996,0.0,0.0,0.0,0.0,0.0,0.0,50.0,7.0
75%,3271.75,248736.75,74.175,25.7175,52.86750000000001,18.475,9.5075,1.6150000000000002,4.359999999999999,4.19,0.1075,0.91,3.62,0.23,0.0,860.25,22.25,18.0,135.5,18.0,29.5,46.5,22.75,174.25,179.75,79.0,420.25,35.25,122.5,35.5,122.25,1.5,25.0,5.0,8.0,350.0,237.5,275.0,54.75,3.1799999999999997,1.4175,2.5,3.75,103.9325,195.87,22.6625,88.77250000000001,16.015,2.8325,2.395,15.5775,12.422500000000001,2.625,7.0625,1.1025,6.805,0.9125000000000001,15.245,2.07,1.79,2.42,0.0,0.0,0.0,0.0,0.0,0.0,50.0,8.0
max,3274.0,248739.0,74.22,25.75,58.14,20.01,11.35,1.75,6.57,5.32,0.13,1.31,3.78,0.49,0.0,1172.0,32.0,22.0,149.0,19.0,31.0,70.0,32.0,219.0,278.0,96.0,719.0,50.0,169.0,58.0,181.0,1.5,55.0,10.0,10.0,400.0,500.0,300.0,62.0,6.41,1.58,2.5,4.22,110.81,206.81,24.16,96.17,18.53,3.49,2.87,18.24,14.92,3.14,8.38,1.38,7.99,1.11,20.14,2.49,3.08,2.88,0.0,0.0,0.0,0.0,0.0,0.0,50.0,11.0
