,gid,objectid,age_code,geom_id,shape_leng,shape_area
count,7.0,7.0,7.0,7.0,7.0,7.0
mean,1893.0,1895.0,95.0,957.7142857142857,491160.3658695857,1289028818.4298713
std,16.237815945091466,16.237815945091466,1.8257418583505538,18.19078783078847,804396.363737483,2011846772.0687523
min,1860.0,1862.0,94.0,947.0,46721.2107898,26445090.0233
25%,1892.5,1894.5,94.0,947.0,66066.8556805,77352312.7514
50%,1894.0,1896.0,94.0,948.0,77035.9975443,119047193.558
75%,1900.0,1902.0,95.0,959.0,487750.196156,1831005641.2425
max,1912.0,1914.0,99.0,997.0,2206731.24908,5060993537.44
