,gid,objectid,age_code,geom_id,shape_leng,shape_area
count,4.0,4.0,4.0,4.0,4.0,4.0
mean,1230.75,1236.5,97.0,977.75,324148.71624337503,1352366719.988375
std,1295.1093583168952,1303.7102183128477,2.309401076758503,22.23173407541571,460977.95451420394,2339213072.531184
min,156.0,156.0,95.0,958.0,31117.1594132,27543368.2455
25%,156.75,156.75,95.0,958.75,67553.170264025,74788534.13062501
50%,1003.0,1004.0,97.0,978.0,127896.80593015,265674929.454
75%,2077.0,2083.75,99.0,997.0,384492.35190949996,1543253115.31175
max,2761.0,2782.0,99.0,997.0,1009684.0937,4850573652.8
