,gid,objectid_1,longitude,latitude,sio2,al2o3,fe2o3,tio2,cao,mgo,mno,na2o,k2o,p2o5,loi,ba,ga,sc,v,th,pb,ni,co,rb,sr,y,zr,nb,cr,cu,zn,au,li,cs,as_,sb,bi,se,ag,be,ge,mo,sn,la,ce,pr,nd,sm,eu,tb,gd,dy,ho,er,tm,yb,lu,hf,ta,w,u,pt,pd,f,in_,te,tl,cd,hg
count,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
mean,3297.0,248762.0,74.3688888888889,25.87222222222222,58.53888888888889,16.611111111111114,6.1433333333333335,0.8400000000000001,3.605555555555556,3.3833333333333333,0.06555555555555556,0.9888888888888889,3.3633333333333333,0.14666666666666667,0.0,190.0,19.22222222222222,14.222222222222221,90.44444444444444,16.555555555555557,25.333333333333332,33.666666666666664,14.88888888888889,52.111111111111114,115.55555555555556,44.44444444444444,256.6666666666667,5.666666666666667,81.88888888888889,30.555555555555557,33.333333333333336,3.611111111111111,20.444444444444443,5.777777777777778,5.555555555555555,288.8888888888889,566.6666666666666,166.66666666666666,54.111111111111114,2.3933333333333335,1.1288888888888888,2.5,2.7588888888888885,58.41111111111112,109.51444444444445,12.46888888888889,47.82222222222222,8.77888888888889,1.5522222222222224,1.2233333333333332,8.022222222222222,6.435555555555555,1.3811111111111112,3.761111111111111,0.59,3.761111111111111,0.5299999999999999,9.844444444444443,1.2622222222222224,1.4566666666666668,2.4444444444444446,0.0,0.0,0.0,0.0,0.0,0.0,50.0,8.444444444444445
std,2.7386127875258306,2.7386127875258306,0.0718408735408414,0.06704061787039621,3.8083409919689584,1.422167750692973,0.9104119946485768,0.15532224567009068,1.7525774669833505,0.67160256104336,0.010137937550497035,0.31158644243790695,0.5913966520026976,0.03354101966249685,0.0,277.308492477241,2.223610677354389,2.386303510546059,10.771619088037683,2.1278575558006176,4.123105625617661,6.855654600401044,3.370624736026114,29.50611989250893,53.64492313143694,8.819171036881968,102.71319292087068,8.602325267042627,12.231562087939182,6.105553028004734,41.23105625617661,1.3176156917368247,3.1666666666666665,2.333333333333333,1.4240006242195884,116.66666666666666,327.8719262151,43.30127018922193,23.693060399853607,0.400593309979086,0.11039072022190592,0.0,0.9171074697717335,12.674598065071379,23.688771132707107,2.685974890260724,10.33510495565693,1.8635949428754925,0.31838568504950787,0.2335594142825332,1.6033307345786283,1.2157622209041445,0.28378884951863614,0.8497270803682269,0.14317821063276354,0.9308657857667298,0.1282575533838066,2.9612248779479375,0.36710958097609553,0.5291502622129182,0.950146187582615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1858128414340006
min,3293.0,248758.0,74.26,25.79,52.64,14.39,4.8,0.66,1.53,2.9,0.06,0.58,2.66,0.11,0.0,0.0,16.0,10.0,78.0,13.0,20.0,24.0,10.0,15.0,60.0,30.0,150.0,0.0,67.0,23.0,0.0,1.5,17.0,5.0,3.5,100.0,200.0,100.0,22.0,1.98,0.93,2.5,1.4,32.14,62.78,7.11,27.56,5.21,1.02,0.81,5.11,4.58,1.02,2.82,0.44,2.78,0.39,5.47,0.83,0.49,1.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,5.0
25%,3295.0,248760.0,74.3,25.82,57.56,15.34,5.69,0.73,1.86,2.98,0.06,0.77,2.75,0.11,0.0,0.0,17.0,13.0,81.0,16.0,23.0,30.0,12.0,18.0,90.0,40.0,210.0,0.0,71.0,26.0,0.0,3.0,18.0,5.0,4.5,250.0,400.0,150.0,35.0,2.09,1.08,2.5,2.12,53.11,102.13,11.53,44.15,8.0,1.46,1.09,7.23,5.69,1.2,3.18,0.5,3.16,0.45,7.41,1.09,1.26,1.5,0.0,0.0,0.0,0.0,0.0,0.0,50.0,8.0
50%,3297.0,248762.0,74.39,25.85,58.72,17.19,6.24,0.81,3.75,3.21,0.06,0.98,3.29,0.15,0.0,30.0,19.0,14.0,89.0,17.0,24.0,32.0,16.0,70.0,100.0,40.0,220.0,0.0,78.0,32.0,0.0,3.0,20.0,5.0,5.5,250.0,500.0,175.0,51.0,2.31,1.13,2.5,3.03,58.91,109.64,12.41,47.13,8.67,1.53,1.21,7.84,6.05,1.24,3.3,0.51,3.25,0.47,9.39,1.16,1.45,3.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,8.0
75%,3299.0,248764.0,74.43,25.95,61.9,17.7,6.47,0.98,5.14,3.3,0.07,1.19,3.63,0.16,0.0,370.0,21.0,15.0,91.0,18.0,29.0,36.0,17.0,80.0,130.0,50.0,270.0,15.0,91.0,34.0,60.0,4.0,23.0,5.0,6.0,350.0,650.0,175.0,69.0,2.59,1.19,2.5,3.45,68.25,126.39,14.6,56.26,10.3,1.68,1.34,9.17,7.18,1.66,4.66,0.71,4.47,0.63,11.91,1.54,1.56,3.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,9.0
max,3301.0,248766.0,74.45,25.96,63.99,18.22,7.57,1.11,5.97,5.07,0.09,1.47,4.39,0.2,0.0,690.0,22.0,18.0,109.0,20.0,32.0,47.0,20.0,80.0,230.0,60.0,510.0,20.0,98.0,40.0,100.0,6.0,25.0,12.0,8.0,500.0,1300.0,250.0,95.0,3.16,1.32,2.5,3.87,72.95,139.7,15.78,61.81,11.54,2.01,1.64,10.65,8.63,1.86,5.13,0.82,5.32,0.74,13.87,1.88,2.49,4.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,12.0
