,gid,objectid,age_code,geom_id,shape_leng,shape_area
count,7.0,7.0,7.0,7.0,7.0,7.0
mean,1921.142857142857,1923.142857142857,94.85714285714286,956.1428571428571,591492.7125093,1641039828.6116288
std,55.89999574069325,55.89999574069325,1.864454471471609,18.533110652995912,803463.4701331093,2074294022.1318216
min,1892.0,1894.0,94.0,947.0,38941.7021518,26445090.0233
25%,1895.5,1897.5,94.0,947.0,61878.60416705,54499482.92105
50%,1902.0,1904.0,94.0,948.0,77213.1171812,123697254.026
75%,1908.0,1910.0,94.5,953.5,846902.8554090001,3083571976.475
max,2047.0,2049.0,99.0,997.0,2206731.24908,5060993537.44
