,gid,objectid,age_code,geom_id,shape_leng,shape_area
count,7.0,7.0,7.0,7.0,7.0,7.0
mean,1915.142857142857,1917.142857142857,95.0,957.8571428571429,604003.1669901285,1694060561.6686285
std,60.37225789888534,60.37225789888534,1.8257418583505538,18.096303226797193,794755.7872575847,2033385348.160835
min,1860.0,1862.0,94.0,947.0,38941.7021518,26445090.0233
25%,1893.5,1895.5,94.0,947.5,61878.60416705,54499482.92105
50%,1896.0,1898.0,94.0,948.0,164786.298547,494842385.425
75%,1908.0,1910.0,95.0,959.0,846902.8554090001,3083571976.475
max,2047.0,2049.0,99.0,997.0,2206731.24908,5060993537.44
